State,District,Subdistrict,City,City_Regiotype,Pincode,Locality,Sublocality,Sublocality_ID,Grid_Name,Part_Grid_Name,Part_Grid_Split_Count,Grid_Population,Grid_Households,Part_Grid_Population,Part_Grid_Households,ESI_Value,ESI_Segment
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Mandavelli,Trustpakkam,110,Che_02016,Che_02016_110,1,1839,502,1088,297,187000,"1,60,000-2,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600018,Abhiramapuram,Abhiramapuram,664,Che_02016,Che_02016_664,1,1839,502,751,205,167000,"1,60,000-2,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600018,Abhiramapuram,Abhiramapuram,664,Che_02016,Che_02016_664,1,1839,502,751,205,167000,"1,60,000-2,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Mandavelli,Trustpakkam,110,Che_02017,Che_02017_110,1,2243,593,455,124,174000,"1,60,000-2,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,Ramakrishna Nagar,408,Che_02017,Che_02017_408,1,2243,593,38,10,208000,"2,00,000-2,50,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,Govindaswamy Nagar,419,Che_02017,Che_02017_419,1,2243,593,1750,459,228000,"2,00,000-2,50,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,Ramakrishna Nagar,408,Che_02018,Che_02018_408,1,1597,419,819,215,208000,"2,00,000-2,50,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,Krisknapuri,411,Che_02018,Che_02018_411,1,1597,419,407,107,145000,"1,20,000-1,60,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,Govindaswamy Nagar,419,Che_02018,Che_02018_419,1,1597,419,371,97,199000,"1,60,000-2,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,Bishop Garden,406,Che_02019,Che_02019_406,1,2246,592,967,254,225000,"2,00,000-2,50,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,May Flower Garden,407,Che_02019,Che_02019_407,1,2246,592,735,195,108000,"80,000-1,20,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,Krisknapuri,411,Che_02019,Che_02019_411,1,2246,592,544,143,290000,"2,50,000-3,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,Bishop Garden,406,Che_02020,Che_02020_406,1,2098,549,2098,549,228000,"2,00,000-2,50,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,Annai Sathya Nagar,420,Che_02021,Che_02021_420,1,533,134,533,134,239000,"2,00,000-2,50,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,Annai Sathya Nagar,420,Che_02022,Che_02022_420,1,31,8,31,8,239000,"2,00,000-2,50,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600004,Abhiramapuram,East Abhiramapuram,670,Che_02093,Che_02093_670,1,2454,631,1709,427,218000,"2,00,000-2,50,000"
